PID, STATE, MODE, START TIME, END TIME, PROGRAM
001, READY, N/A, 0000000004, 0000000036, workload/l9A.prog
001, RUNNING, USER, 0000000036, 0000000100, workload/l9A.prog
001, READY, N/A, 0000000100, 0000000104, workload/l9A.prog
001, RUNNING, USER, 0000000104, 0000000120, workload/l9A.prog
001, READY, N/A, 0000000120, 0000000128, workload/l9A.prog
001, RUNNING, USER, 0000000128, 0000000131, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000000131, 0000000135, workload/l9A.prog
001, WAITING, N/A, 0000000135, 0000000216, workload/l9A.prog
001, READY, N/A, 0000000216, 0000001363, workload/l9A.prog
001, RUNNING, USER, 0000001363, 0000001424, workload/l9A.prog
001, READY, N/A, 0000001424, 0000001428, workload/l9A.prog
001, RUNNING, USER, 0000001428, 0000001472, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000001472, 0000001476, workload/l9A.prog
001, WAITING, N/A, 0000001476, 0000001553, workload/l9A.prog
001, READY, N/A, 0000001553, 0000004003, workload/l9A.prog
001, RUNNING, USER, 0000004003, 0000004043, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000004043, 0000004047, workload/l9A.prog
001, WAITING, N/A, 0000004047, 0000004082, workload/l9A.prog
001, READY, N/A, 0000004082, 0000006835, workload/l9A.prog
001, RUNNING, USER, 0000006835, 0000006866, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000006866, 0000006870, workload/l9A.prog
001, WAITING, N/A, 0000006870, 0000006926, workload/l9A.prog
001, READY, N/A, 0000006926, 0000009210, workload/l9A.prog
001, RUNNING, USER, 0000009210, 0000009215, workload/l9A.prog
001, READY, N/A, 0000009215, 0000009219, workload/l9A.prog
001, RUNNING, USER, 0000009219, 0000009307, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000009307, 0000009311, workload/l9A.prog
001, WAITING, N/A, 0000009311, 0000009353, workload/l9A.prog
001, READY, N/A, 0000009353, 0000012083, workload/l9A.prog
001, RUNNING, USER, 0000012083, 0000012093, workload/l9A.prog
001, READY, N/A, 0000012093, 0000012097, workload/l9A.prog
001, RUNNING, USER, 0000012097, 0000012264, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000012264, 0000012268, workload/l9A.prog
001, WAITING, N/A, 0000012268, 0000012302, workload/l9A.prog
001, READY, N/A, 0000012302, 0000014389, workload/l9A.prog
001, RUNNING, USER, 0000014389, 0000014423, workload/l9A.prog
001, READY, N/A, 0000014423, 0000014427, workload/l9A.prog
001, RUNNING, USER, 0000014427, 0000014462, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000014462, 0000014466, workload/l9A.prog
001, WAITING, N/A, 0000014466, 0000014494, workload/l9A.prog
001, READY, N/A, 0000014494, 0000016739, workload/l9A.prog
001, RUNNING, USER, 0000016739, 0000016753, workload/l9A.prog
