PID, STATE, MODE, START TIME, END TIME, PROGRAM
001, READY, N/A, 0000000004, 0000000036, workload/l9A.prog
001, RUNNING, USER, 0000000036, 0000000100, workload/l9A.prog
001, READY, N/A, 0000000100, 0000000104, workload/l9A.prog
001, RUNNING, USER, 0000000104, 0000000120, workload/l9A.prog
001, READY, N/A, 0000000120, 0000000128, workload/l9A.prog
001, RUNNING, USER, 0000000128, 0000000131, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000000131, 0000000135, workload/l9A.prog
001, WAITING, N/A, 0000000135, 0000000216, workload/l9A.prog
001, READY, N/A, 0000000216, 0000001684, workload/l9A.prog
001, RUNNING, USER, 0000001684, 0000001759, workload/l9A.prog
001, READY, N/A, 0000001759, 0000001763, workload/l9A.prog
001, RUNNING, USER, 0000001763, 0000001793, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000001793, 0000001797, workload/l9A.prog
001, WAITING, N/A, 0000001797, 0000001874, workload/l9A.prog
001, READY, N/A, 0000001874, 0000005806, workload/l9A.prog
001, RUNNING, USER, 0000005806, 0000005831, workload/l9A.prog
001, READY, N/A, 0000005831, 0000005835, workload/l9A.prog
001, RUNNING, USER, 0000005835, 0000005850, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000005850, 0000005854, workload/l9A.prog
001, WAITING, N/A, 0000005854, 0000005889, workload/l9A.prog
001, READY, N/A, 0000005889, 0000009387, workload/l9A.prog
001, RUNNING, USER, 0000009387, 0000009418, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000009418, 0000009422, workload/l9A.prog
001, WAITING, N/A, 0000009422, 0000009478, workload/l9A.prog
001, READY, N/A, 0000009478, 0000012657, workload/l9A.prog
001, RUNNING, USER, 0000012657, 0000012658, workload/l9A.prog
001, READY, N/A, 0000012658, 0000012662, workload/l9A.prog
001, RUNNING, USER, 0000012662, 0000012683, workload/l9A.prog
001, READY, N/A, 0000012683, 0000012687, workload/l9A.prog
001, RUNNING, USER, 0000012687, 0000012758, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000012758, 0000012762, workload/l9A.prog
001, WAITING, N/A, 0000012762, 0000012804, workload/l9A.prog
001, READY, N/A, 0000012804, 0000016878, workload/l9A.prog
001, RUNNING, USER, 0000016878, 0000016888, workload/l9A.prog
001, READY, N/A, 0000016888, 0000016892, workload/l9A.prog
001, RUNNING, USER, 0000016892, 0000017059, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000017059, 0000017063, workload/l9A.prog
001, WAITING, N/A, 0000017063, 0000017097, workload/l9A.prog
001, READY, N/A, 0000017097, 0000020388, workload/l9A.prog
001, RUNNING, USER, 0000020388, 0000020407, workload/l9A.prog
001, READY, N/A, 0000020407, 0000020411, workload/l9A.prog
001, RUNNING, USER, 0000020411, 0000020461, workload/l9A.prog
