PID, STATE, MODE, START TIME, END TIME, PROGRAM
001, READY, N/A, 0000000004, 0000000036, workload/l9A.prog
001, RUNNING, USER, 0000000036, 0000000100, workload/l9A.prog
001, READY, N/A, 0000000100, 0000000104, workload/l9A.prog
001, RUNNING, USER, 0000000104, 0000000120, workload/l9A.prog
001, READY, N/A, 0000000120, 0000000128, workload/l9A.prog
001, RUNNING, USER, 0000000128, 0000000131, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000000131, 0000000135, workload/l9A.prog
001, WAITING, N/A, 0000000135, 0000000216, workload/l9A.prog
001, READY, N/A, 0000000216, 0000001684, workload/l9A.prog
001, RUNNING, USER, 0000001684, 0000001759, workload/l9A.prog
001, READY, N/A, 0000001759, 0000001763, workload/l9A.prog
001, RUNNING, USER, 0000001763, 0000001793, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000001793, 0000001797, workload/l9A.prog
001, WAITING, N/A, 0000001797, 0000001874, workload/l9A.prog
001, READY, N/A, 0000001874, 0000005706, workload/l9A.prog
001, RUNNING, USER, 0000005706, 0000005731, workload/l9A.prog
001, READY, N/A, 0000005731, 0000005735, workload/l9A.prog
001, RUNNING, USER, 0000005735, 0000005750, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000005750, 0000005754, workload/l9A.prog
001, WAITING, N/A, 0000005754, 0000005789, workload/l9A.prog
001, READY, N/A, 0000005789, 0000009287, workload/l9A.prog
001, RUNNING, USER, 0000009287, 0000009318, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000009318, 0000009322, workload/l9A.prog
001, WAITING, N/A, 0000009322, 0000009378, workload/l9A.prog
001, READY, N/A, 0000009378, 0000012573, workload/l9A.prog
001, RUNNING, USER, 0000012573, 0000012574, workload/l9A.prog
001, READY, N/A, 0000012574, 0000012578, workload/l9A.prog
001, RUNNING, USER, 0000012578, 0000012599, workload/l9A.prog
001, READY, N/A, 0000012599, 0000012603, workload/l9A.prog
001, RUNNING, USER, 0000012603, 0000012674, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000012674, 0000012678, workload/l9A.prog
001, WAITING, N/A, 0000012678, 0000012720, workload/l9A.prog
001, READY, N/A, 0000012720, 0000016383, workload/l9A.prog
001, RUNNING, USER, 0000016383, 0000016393, workload/l9A.prog
001, READY, N/A, 0000016393, 0000016397, workload/l9A.prog
001, RUNNING, USER, 0000016397, 0000016564, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000016564, 0000016568, workload/l9A.prog
001, WAITING, N/A, 0000016568, 0000016602, workload/l9A.prog
001, READY, N/A, 0000016602, 0000019792, workload/l9A.prog
001, RUNNING, USER, 0000019792, 0000019811, workload/l9A.prog
001, READY, N/A, 0000019811, 0000019815, workload/l9A.prog
001, RUNNING, USER, 0000019815, 0000019865, workload/l9A.prog
