PID, STATE, MODE, START TIME, END TIME, PROGRAM
001, READY, N/A, 0000000004, 0000000041, workload/l9A.prog
001, RUNNING, USER, 0000000041, 0000000100, workload/l9A.prog
001, READY, N/A, 0000000100, 0000000104, workload/l9A.prog
001, RUNNING, USER, 0000000104, 0000000120, workload/l9A.prog
001, READY, N/A, 0000000120, 0000000128, workload/l9A.prog
001, RUNNING, USER, 0000000128, 0000000136, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000000136, 0000000140, workload/l9A.prog
001, WAITING, N/A, 0000000140, 0000000221, workload/l9A.prog
001, READY, N/A, 0000000221, 0000001600, workload/l9A.prog
001, RUNNING, USER, 0000001600, 0000001665, workload/l9A.prog
001, READY, N/A, 0000001665, 0000001669, workload/l9A.prog
001, RUNNING, USER, 0000001669, 0000001709, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000001709, 0000001713, workload/l9A.prog
001, WAITING, N/A, 0000001713, 0000001790, workload/l9A.prog
001, READY, N/A, 0000001790, 0000005032, workload/l9A.prog
001, RUNNING, USER, 0000005032, 0000005056, workload/l9A.prog
001, READY, N/A, 0000005056, 0000005060, workload/l9A.prog
001, RUNNING, USER, 0000005060, 0000005076, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000005076, 0000005080, workload/l9A.prog
001, WAITING, N/A, 0000005080, 0000005115, workload/l9A.prog
001, READY, N/A, 0000005115, 0000008588, workload/l9A.prog
001, RUNNING, USER, 0000008588, 0000008619, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000008619, 0000008623, workload/l9A.prog
001, WAITING, N/A, 0000008623, 0000008674, workload/l9A.prog
001, READY, N/A, 0000008674, 0000011355, workload/l9A.prog
001, RUNNING, USER, 0000011355, 0000011448, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000011448, 0000011452, workload/l9A.prog
001, WAITING, N/A, 0000011452, 0000011494, workload/l9A.prog
001, READY, N/A, 0000011494, 0000014465, workload/l9A.prog
001, RUNNING, USER, 0000014465, 0000014470, workload/l9A.prog
001, READY, N/A, 0000014470, 0000014474, workload/l9A.prog
001, RUNNING, USER, 0000014474, 0000014646, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000014646, 0000014650, workload/l9A.prog
001, WAITING, N/A, 0000014650, 0000014684, workload/l9A.prog
001, READY, N/A, 0000014684, 0000017614, workload/l9A.prog
001, RUNNING, USER, 0000017614, 0000017628, workload/l9A.prog
001, READY, N/A, 0000017628, 0000017632, workload/l9A.prog
001, RUNNING, USER, 0000017632, 0000017687, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000017687, 0000017691, workload/l9A.prog
001, WAITING, N/A, 0000017691, 0000017720, workload/l9A.prog
001, READY, N/A, 0000017720, 0000020711, workload/l9A.prog
001, RUNNING, USER, 0000020711, 0000020720, workload/l9A.prog
001, READY, N/A, 0000020720, 0000020724, workload/l9A.prog
001, RUNNING, USER, 0000020724, 0000020766, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000020766, 0000020770, workload/l9A.prog
001, WAITING, N/A, 0000020770, 0000020851, workload/l9A.prog
001, READY, N/A, 0000020851, 0000023918, workload/l9A.prog
001, RUNNING, USER, 0000023918, 0000023930, workload/l9A.prog
001, READY, N/A, 0000023930, 0000023934, workload/l9A.prog
001, RUNNING, USER, 0000023934, 0000024068, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000024068, 0000024072, workload/l9A.prog
001, WAITING, N/A, 0000024072, 0000024126, workload/l9A.prog
001, READY, N/A, 0000024126, 0000027604, workload/l9A.prog
001, RUNNING, USER, 0000027604, 0000027640, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000027640, 0000027644, workload/l9A.prog
001, WAITING, N/A, 0000027644, 0000027758, workload/l9A.prog
001, READY, N/A, 0000027758, 0000031269, workload/l9A.prog
001, RUNNING, USER, 0000031269, 0000031273, workload/l9A.prog
001, READY, N/A, 0000031273, 0000031277, workload/l9A.prog
001, RUNNING, USER, 0000031277, 0000031318, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000031318, 0000031322, workload/l9A.prog
001, WAITING, N/A, 0000031322, 0000031351, workload/l9A.prog
