PID, STATE, MODE, START TIME, END TIME, PROGRAM
001, READY, N/A, 0000000004, 0000000046, workload/l9A.prog
001, RUNNING, USER, 0000000046, 0000000100, workload/l9A.prog
001, READY, N/A, 0000000100, 0000000104, workload/l9A.prog
001, RUNNING, USER, 0000000104, 0000000120, workload/l9A.prog
001, READY, N/A, 0000000120, 0000000128, workload/l9A.prog
001, RUNNING, USER, 0000000128, 0000000141, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000000141, 0000000145, workload/l9A.prog
001, WAITING, N/A, 0000000145, 0000000228, workload/l9A.prog
001, READY, N/A, 0000000228, 0000001971, workload/l9A.prog
001, RUNNING, USER, 0000001971, 0000002029, workload/l9A.prog
001, READY, N/A, 0000002029, 0000002033, workload/l9A.prog
001, RUNNING, USER, 0000002033, 0000002080, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000002080, 0000002084, workload/l9A.prog
001, WAITING, N/A, 0000002084, 0000002161, workload/l9A.prog
001, READY, N/A, 0000002161, 0000005506, workload/l9A.prog
001, RUNNING, USER, 0000005506, 0000005546, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000005546, 0000005550, workload/l9A.prog
001, WAITING, N/A, 0000005550, 0000005585, workload/l9A.prog
001, READY, N/A, 0000005585, 0000008999, workload/l9A.prog
001, RUNNING, USER, 0000008999, 0000009023, workload/l9A.prog
001, READY, N/A, 0000009023, 0000009027, workload/l9A.prog
001, RUNNING, USER, 0000009027, 0000009034, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000009034, 0000009038, workload/l9A.prog
001, WAITING, N/A, 0000009038, 0000009072, workload/l9A.prog
001, READY, N/A, 0000009072, 0000011788, workload/l9A.prog
001, RUNNING, USER, 0000011788, 0000011813, workload/l9A.prog
001, READY, N/A, 0000011813, 0000011817, workload/l9A.prog
001, RUNNING, USER, 0000011817, 0000011885, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000011885, 0000011889, workload/l9A.prog
001, WAITING, N/A, 0000011889, 0000011931, workload/l9A.prog
001, READY, N/A, 0000011931, 0000015114, workload/l9A.prog
001, RUNNING, USER, 0000015114, 0000015291, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000015291, 0000015295, workload/l9A.prog
